"Ageband","IMD","clin_frac"
"Under 1",1,0.29
"1 to 4",1,0.29
"5 to 9",1,0.29
"10 to 14",1,0.221313791454554
"15 to 19",1,0.270592127944623
"20 to 24",1,0.334454108629879
"25 to 29",1,0.364825689091452
"30 to 34",1,0.397385911423579
"35 to 39",1,0.451823963957898
"40 to 44",1,0.527333264753361
"45 to 49",1,0.615267191287464
"50 to 54",1,0.663610722617518
"55 to 59",1,0.689384045759049
"60 to 64",1,0.69
"65 to 69",1,0.69
"70 to 74",1,0.69
"75+",1,0.69
"Under 1",2,0.29
"1 to 4",2,0.29
"5 to 9",2,0.29
"10 to 14",2,0.21
"15 to 19",2,0.256921785357971
"20 to 24",2,0.301239291657335
"25 to 29",2,0.317242208282559
"30 to 34",2,0.342510261849616
"35 to 39",2,0.389526256984223
"40 to 44",2,0.454242146790393
"45 to 49",2,0.544247347307262
"50 to 54",2,0.612327009361925
"55 to 59",2,0.657726689577702
"60 to 64",2,0.688162303740916
"65 to 69",2,0.69
"70 to 74",2,0.69
"75+",2,0.69
"Under 1",3,0.29
"1 to 4",3,0.29
"5 to 9",3,0.29
"10 to 14",3,0.21
"15 to 19",3,0.24739928856972
"20 to 24",3,0.287140910502274
"25 to 29",3,0.292813361733871
"30 to 34",3,0.314589754613143
"35 to 39",3,0.356392909371126
"40 to 44",3,0.41447131086741
"45 to 49",3,0.489799271928401
"50 to 54",3,0.561836234014275
"55 to 59",3,0.620116441425678
"60 to 64",3,0.66682102947124
"65 to 69",3,0.683901766116151
"70 to 74",3,0.69
"75+",3,0.69
"Under 1",4,0.29
"1 to 4",4,0.29
"5 to 9",4,0.29
"10 to 14",4,0.21
"15 to 19",4,0.240159390207873
"20 to 24",4,0.27815963736257
"25 to 29",4,0.281521186098151
"30 to 34",4,0.297816827272434
"35 to 39",4,0.336096492039501
"40 to 44",4,0.384970298063781
"45 to 49",4,0.449164604954108
"50 to 54",4,0.513553077274451
"55 to 59",4,0.57472047140304
"60 to 64",4,0.630530454933116
"65 to 69",4,0.65821991528774
"70 to 74",4,0.678600357757994
"75+",4,0.69
"Under 1",5,0.29
"1 to 4",5,0.29
"5 to 9",5,0.29
"10 to 14",5,0.21
"15 to 19",5,0.234133206104251
"20 to 24",5,0.27012807209785
"25 to 29",5,0.271652490278482
"30 to 34",5,0.285867979252618
"35 to 39",5,0.317063390639648
"40 to 44",5,0.360346165284557
"45 to 49",5,0.417768522955806
"50 to 54",5,0.472635950960834
"55 to 59",5,0.525420950547887
"60 to 64",5,0.590320199173261
"65 to 69",5,0.625212563498739
"70 to 74",5,0.657972486000877
"75+",5,0.69
"Under 1",6,0.29
"1 to 4",6,0.29
"5 to 9",6,0.29
"10 to 14",6,0.21
"15 to 19",6,0.228432072883944
"20 to 24",6,0.262324213273542
"25 to 29",6,0.262949342652239
"30 to 34",6,0.274383931417443
"35 to 39",6,0.303254548251121
"40 to 44",6,0.337822829849396
"45 to 49",6,0.387515400644868
"50 to 54",6,0.437870112745055
"55 to 59",6,0.486078996934699
"60 to 64",6,0.549101887339901
"65 to 69",6,0.595557308589223
"70 to 74",6,0.638270384757661
"75+",6,0.69
"Under 1",7,0.29
"1 to 4",7,0.29
"5 to 9",7,0.29
"10 to 14",7,0.21
"15 to 19",7,0.219128899564621
"20 to 24",7,0.255038549755937
"25 to 29",7,0.257430782102908
"30 to 34",7,0.266711959649071
"35 to 39",7,0.287641251619793
"40 to 44",7,0.319279751557101
"45 to 49",7,0.363559179854364
"50 to 54",7,0.407421507072377
"55 to 59",7,0.45185315631716
"60 to 64",7,0.512569204201876
"65 to 69",7,0.565313009295116
"70 to 74",7,0.61877135732945
"75+",7,0.69
"Under 1",8,0.29
"1 to 4",8,0.29
"5 to 9",8,0.29
"10 to 14",8,0.21
"15 to 19",8,0.213663391578975
"20 to 24",8,0.249481921677627
"25 to 29",8,0.250309823886961
"30 to 34",8,0.258835532708759
"35 to 39",8,0.277535278638563
"40 to 44",8,0.302544825137738
"45 to 49",8,0.340665667214766
"50 to 54",8,0.384340966328206
"55 to 59",8,0.425983863351358
"60 to 64",8,0.483695307958288
"65 to 69",8,0.541050944800829
"70 to 74",8,0.601450038712824
"75+",8,0.69
"Under 1",9,0.29
"1 to 4",9,0.29
"5 to 9",9,0.29
"10 to 14",9,0.21
"15 to 19",9,0.21
"20 to 24",9,0.244884729381894
"25 to 29",9,0.247359092596164
"30 to 34",9,0.251694488943043
"35 to 39",9,0.262130680811115
"40 to 44",9,0.284492479996126
"45 to 49",9,0.318729184237561
"50 to 54",9,0.357794063453606
"55 to 59",9,0.400679678890286
"60 to 64",9,0.45393945655953
"65 to 69",9,0.505785018517631
"70 to 74",9,0.577597173930845
"75+",9,0.69
"Under 1",10,0.29
"1 to 4",10,0.29
"5 to 9",10,0.29
"10 to 14",10,0.21
"15 to 19",10,0.21
"20 to 24",10,0.240091005382072
"25 to 29",10,0.241254050037069
"30 to 34",10,0.241111394261916
"35 to 39",10,0.246189185265201
"40 to 44",10,0.259816786023043
"45 to 49",10,0.2874518139822
"50 to 54",10,0.322869277313775
"55 to 59",10,0.357951517864116
"60 to 64",10,0.406952946066694
"65 to 69",10,0.455547572821374
"70 to 74",10,0.529814401100087
"75+",10,0.688972059682453
