"Table 8: Age-specific percentages of health status, by IMD, by sex and age in England, 2021 [Notes 1 to 11]",,,,,,,,,,,,,
"Census 2021, England",,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,
Back to contents (this text contains a link),,,,,,,,,,,,,
Year,Country,Health Status,Sex,Age,IMD Decile,Count,Population,Age-specific Percentage,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Notes,,
2021,England,Very good,Female,Under 1,1,"30,705","37,045",82.9,82,83.8,[z],,
2021,England,Very good,Female,1 to 4,1,"128,170","158,785",80.7,80.3,81.2,[z],,
2021,England,Very good,Female,5 to 9,1,"163,985","209,640",78.2,77.8,78.6,[z],,
2021,England,Very good,Female,10 to 14,1,"151,935","205,245",74,73.7,74.4,[z],,
2021,England,Very good,Female,15 to 19,1,"114,615","182,900",62.7,62.3,63,[z],,
2021,England,Very good,Female,20 to 24,1,"101,025","195,540",51.7,51.3,52,[z],,
2021,England,Very good,Female,25 to 29,1,"103,320","217,710",47.5,47.2,47.7,[z],,
2021,England,Very good,Female,30 to 34,1,"99,215","234,750",42.3,42,42.5,[z],,
2021,England,Very good,Female,35 to 39,1,"79,410","213,400",37.2,37,37.5,[z],,
2021,England,Very good,Female,40 to 44,1,"57,770","180,455",32,31.8,32.3,[z],,
2021,England,Very good,Female,45 to 49,1,"44,910","169,170",26.5,26.3,26.8,[z],,
2021,England,Very good,Female,50 to 54,1,"40,240","178,055",22.6,22.4,22.8,[z],,
2021,England,Very good,Female,55 to 59,1,"32,100","166,010",19.3,19.1,19.5,[z],,
2021,England,Very good,Female,60 to 64,1,"21,940","137,970",15.9,15.7,16.1,[z],,
2021,England,Very good,Female,65 to 69,1,"14,285","109,000",13.1,12.9,13.3,[z],,
2021,England,Very good,Female,70 to 74,1,"10,805","98,525",11,10.8,11.2,[z],,
2021,England,Very good,Female,75 to 79,1,"5,815","70,060",8.3,8.1,8.5,[z],,
2021,England,Very good,Female,80 to 84,1,"3,230","54,080",6,5.8,6.2,[z],,
2021,England,Very good,Female,85 to 89,1,"1,465","35,010",4.2,4,4.4,[z],,
2021,England,Very good,Female,90+,1,660,"21,920",3,2.8,3.2,[z],,
2021,England,Very good,Female,Under 1,2,"28,040","33,620",83.4,82.4,84.4,[z],,
2021,England,Very good,Female,1 to 4,2,"117,000","142,145",82.3,81.8,82.8,[z],,
2021,England,Very good,Female,5 to 9,2,"148,945","186,890",79.7,79.3,80.1,[z],,
2021,England,Very good,Female,10 to 14,2,"141,370","187,310",75.5,75.1,75.9,[z],,
2021,England,Very good,Female,15 to 19,2,"111,985","174,640",64.1,63.7,64.5,[z],,
2021,England,Very good,Female,20 to 24,2,"111,085","204,240",54.4,54.1,54.7,[z],,
2021,England,Very good,Female,25 to 29,2,"118,840","229,155",51.9,51.6,52.2,[z],,
2021,England,Very good,Female,30 to 34,2,"114,120","240,840",47.4,47.1,47.7,[z],,
2021,England,Very good,Female,35 to 39,2,"91,390","217,320",42.1,41.8,42.3,[z],,
2021,England,Very good,Female,40 to 44,2,"68,805","187,555",36.7,36.4,37,[z],,
2021,England,Very good,Female,45 to 49,2,"55,655","179,005",31.1,30.8,31.3,[z],,
2021,England,Very good,Female,50 to 54,2,"51,405","189,750",27.1,26.9,27.3,[z],,
2021,England,Very good,Female,55 to 59,2,"41,540","175,780",23.6,23.4,23.9,[z],,
2021,England,Very good,Female,60 to 64,2,"28,615","144,395",19.8,19.6,20,[z],,
2021,England,Very good,Female,65 to 69,2,"19,080","115,140",16.6,16.3,16.8,[z],,
2021,England,Very good,Female,70 to 74,2,"14,665","106,740",13.7,13.5,14,[z],,
2021,England,Very good,Female,75 to 79,2,"7,890","77,650",10.2,9.9,10.4,[z],,
2021,England,Very good,Female,80 to 84,2,"4,240","59,970",7.1,6.9,7.3,[z],,
2021,England,Very good,Female,85 to 89,2,"1,810","38,935",4.6,4.4,4.9,[z],,
2021,England,Very good,Female,90+,2,825,"25,530",3.2,3,3.5,[z],,
2021,England,Very good,Female,Under 1,3,"27,060","32,115",84.3,83.3,85.3,[z],,
2021,England,Very good,Female,1 to 4,3,"112,420","135,015",83.3,82.8,83.8,[z],,
2021,England,Very good,Female,5 to 9,3,"140,695","174,345",80.7,80.3,81.1,[z],,
2021,England,Very good,Female,10 to 14,3,"133,630","174,220",76.7,76.3,77.1,[z],,
2021,England,Very good,Female,15 to 19,3,"107,140","165,480",64.7,64.4,65.1,[z],,
2021,England,Very good,Female,20 to 24,3,"115,515","205,735",56.1,55.8,56.5,[z],,
2021,England,Very good,Female,25 to 29,3,"128,110","235,245",54.5,54.2,54.8,[z],,
2021,England,Very good,Female,30 to 34,3,"123,280","245,830",50.1,49.9,50.4,[z],,
2021,England,Very good,Female,35 to 39,3,"99,045","219,860",45,44.8,45.3,[z],,
2021,England,Very good,Female,40 to 44,3,"75,725","189,830",39.9,39.6,40.2,[z],,
2021,England,Very good,Female,45 to 49,3,"63,095","181,305",34.8,34.5,35.1,[z],,
2021,England,Very good,Female,50 to 54,3,"58,660","192,835",30.4,30.2,30.7,[z],,
2021,England,Very good,Female,55 to 59,3,"49,165","181,595",27.1,26.8,27.3,[z],,
2021,England,Very good,Female,60 to 64,3,"34,905","150,935",23.1,22.9,23.4,[z],,
