Measure,Domain,Decile,Ethnicity,Ethnicity_type,Geography,Geography_type,Geography_code,Value,Value_type,Numerator,Denominator
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5249400,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5317178,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10.2,%,5384704,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5376598,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5337239,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5365434,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5250666,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5282540,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5240515,53012456
Percentage of people living in these neighbourhoods,Index of Multiple Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5208182,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,10,%,5281718,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5314831,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5342947,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5373191,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5360077,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5313044,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5278929,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5249087,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5242797,53012456
Percentage of people living in these neighbourhoods,Income Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5255835,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5170404,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5255837,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5307923,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5337422,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5351038,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5330942,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5294214,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5306868,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5295103,53012456
Percentage of people living in these neighbourhoods,Employment Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5362705,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5216082,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5280060,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5315320,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5295463,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5344005,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5333892,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5341067,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5314820,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5316259,53012456
Percentage of people living in these neighbourhoods,Education Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5255488,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,9.8,%,5172045,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5249734,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5262565,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5258444,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5265048,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5282668,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5291560,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,70% to 80%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5354884,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,80% to 90%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5376378,53012456
Percentage of people living in these neighbourhoods,Health Deprivation,10% least deprived,All,ONS 2011 5+1,England,Country,E92000001,10.4,%,5499130,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,10% most deprived,All,ONS 2011 5+1,England,Country,E92000001,10,%,5301823,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,10% to 20%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5373864,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,20% to 30%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5335007,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,30% to 40%,All,ONS 2011 5+1,England,Country,E92000001,10.1,%,5335804,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,40% to 50%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5310925,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,50% to 60%,All,ONS 2011 5+1,England,Country,E92000001,10,%,5307390,53012456
Percentage of people living in these neighbourhoods,Crime Deprivation,60% to 70%,All,ONS 2011 5+1,England,Country,E92000001,9.9,%,5270556,53012456
