"Age","IMD","rural","Population","tot_pop","Proportion"
"Under 1",1,"Urban",76560,5517044,0.013876996449548
"1 to 4",1,"Urban",337594,5517044,0.0611911016116602
"5 to 9",1,"Urban",441192,5517044,0.079968910887787
"10 to 14",1,"Urban",412214,5517044,0.0747164604813737
"15 to 19",1,"Urban",350523,5517044,0.0635345666991237
"20 to 24",1,"Urban",365533,5517044,0.0662552265307291
"25 to 29",1,"Urban",425123,5517044,0.0770563004391482
"30 to 34",1,"Urban",428056,5517044,0.0775879257080422
"35 to 39",1,"Urban",391331,5517044,0.0709312813165891
"40 to 44",1,"Urban",331548,5517044,0.060095224906671
"45 to 49",1,"Urban",328083,5517044,0.0594671711880492
"50 to 54",1,"Urban",338121,5517044,0.0612866237789657
"55 to 59",1,"Urban",316280,5517044,0.0573278009020773
"60 to 64",1,"Urban",264918,5517044,0.0480181053477188
"65 to 69",1,"Urban",213606,5517044,0.0387174726175829
"70 to 74",1,"Urban",185920,5517044,0.03369920558908
"75+",1,"Urban",310442,5517044,0.0562696255458539
"Under 1",2,"Urban",69988,5475546,0.0127819216567626
"1 to 4",2,"Urban",302365,5475546,0.0552209770495947
"5 to 9",2,"Urban",396311,5475546,0.0723783527706643
"10 to 14",2,"Urban",371934,5475546,0.067926376657232
"15 to 19",2,"Urban",327202,5475546,0.0597569630498949
"20 to 24",2,"Urban",380527,5475546,0.0694957178699622
"25 to 29",2,"Urban",433346,5475546,0.0791420618144748
"30 to 34",2,"Urban",437973,5475546,0.0799870916982526
"35 to 39",2,"Urban",402535,5475546,0.0735150430660248
"40 to 44",2,"Urban",342273,5475546,0.0625093826259518
"45 to 49",2,"Urban",336316,5475546,0.0614214545910125
"50 to 54",2,"Urban",348949,5475546,0.0637286217666695
"55 to 59",2,"Urban",323615,5475546,0.0591018685625141
"60 to 64",2,"Urban",264673,5475546,0.0483372799717142
"65 to 69",2,"Urban",212808,5475546,0.0388651652273581
"70 to 74",2,"Urban",192246,5475546,0.0351099232843629
"75+",2,"Urban",332485,5475546,0.0607217983375539
"Under 1",3,"Urban",66057,5428906,0.0121676448256794
"1 to 4",3,"Urban",279863,5428906,0.0515505333855477
"5 to 9",3,"Urban",363163,5428906,0.0668943245655755
"10 to 14",3,"Urban",337047,5428906,0.0620837789418347
"15 to 19",3,"Urban",304799,5428906,0.0561437239841692
"20 to 24",3,"Urban",398093,5428906,0.0733284017074527
"25 to 29",3,"Urban",449302,5428906,0.0827610572001062
"30 to 34",3,"Urban",448713,5428906,0.0826525638867205
"35 to 39",3,"Urban",408838,5428906,0.0753076218302546
"40 to 44",3,"Urban",344440,5428906,0.0634455634339589
"45 to 49",3,"Urban",335152,5428906,0.0617347215074271
"50 to 54",3,"Urban",344205,5428906,0.0634022766281089
"55 to 59",3,"Urban",320278,5428906,0.0589949429958817
"60 to 64",3,"Urban",263749,5428906,0.0485823478984532
"65 to 69",3,"Urban",215977,5428906,0.0397827849662529
"70 to 74",3,"Urban",199775,5428906,0.0367983899518614
"75+",3,"Urban",349455,5428906,0.0643693222907157
"Under 1",4,"Urban",56860,4948714,0.0114898537276553
"1 to 4",4,"Urban",238830,4948714,0.0482610229647541
"5 to 9",4,"Urban",307005,4948714,0.0620373292940348
"10 to 14",4,"Urban",283730,4948714,0.0573340871992198
"15 to 19",4,"Urban",270430,4948714,0.054646520287897
"20 to 24",4,"Urban",375965,4948714,0.0759722626928935
"25 to 29",4,"Urban",406061,4948714,0.0820538426750869
"30 to 34",4,"Urban",402901,4948714,0.0814152929427726
"35 to 39",4,"Urban",368042,4948714,0.0743712406900055
"40 to 44",4,"Urban",314767,4948714,0.0636058175922068
"45 to 49",4,"Urban",305042,4948714,0.0616406605837395
"50 to 54",4,"Urban",315477,4948714,0.0637492892092774
"55 to 59",4,"Urban",298779,4948714,0.0603750792630166
"60 to 64",4,"Urban",248131,4948714,0.0501405011483792
"65 to 69",4,"Urban",207873,4948714,0.0420054583877751
"70 to 74",4,"Urban",199425,4948714,0.0402983482173348
"75+",4,"Urban",349396,4948714,0.070603393123951
"Under 1",5,"Urban",50485,4471402,0.0112906421744231
"1 to 4",5,"Urban",211468,4471402,0.0472934439802102
"5 to 9",5,"Urban",270731,4471402,0.0605472288110083
"10 to 14",5,"Urban",251646,4471402,0.0562789925844288
"15 to 19",5,"Urban",236254,4471402,0.0528366718089762
"20 to 24",5,"Urban",318423,4471402,0.0712132346856758
"25 to 29",5,"Urban",342813,4471402,0.0766678996878384
"30 to 34",5,"Urban",344332,4471402,0.0770076141666529
"35 to 39",5,"Urban",324463,4471402,0.0725640414348788
"40 to 44",5,"Urban",284330,4471402,0.0635885567882288
"45 to 49",5,"Urban",281910,4471402,0.0630473395145415
"50 to 54",5,"Urban",292696,4471402,0.065459558321976
"55 to 59",5,"Urban",279189,4471402,0.0624388055468956
"60 to 64",5,"Urban",233785,4471402,0.0522844960037143
"65 to 69",5,"Urban",200775,4471402,0.0449020240184175
"70 to 74",5,"Urban",197248,4471402,0.0441132333885435
"75+",5,"Urban",350854,4471402,0.0784662170835903
"Under 1",6,"Urban",45046,4212527,0.0106933439239677
"1 to 4",6,"Urban",192706,4212527,0.0457459382456184
"5 to 9",6,"Urban",247687,4212527,0.0587977240264573
"10 to 14",6,"Urban",233836,4212527,0.0555096738845828
"15 to 19",6,"Urban",217169,4212527,0.0515531413804588
"20 to 24",6,"Urban",294220,4212527,0.0698440627205476
"25 to 29",6,"Urban",315875,4212527,0.0749846825907585
"30 to 34",6,"Urban",314444,4212527,0.0746449815039761
"35 to 39",6,"Urban",299060,4212527,0.070993016780664
"40 to 44",6,"Urban",269453,4212527,0.0639646938761461
"45 to 49",6,"Urban",266682,4212527,0.0633068939380092
"50 to 54",6,"Urban",277460,4212527,0.0658654532065907
"55 to 59",6,"Urban",267049,4212527,0.0633940150413279
"60 to 64",6,"Urban",224496,4212527,0.0532924774132012
"65 to 69",6,"Urban",195563,4212527,0.0464241534831706
"70 to 74",6,"Urban",198369,4212527,0.0470902619733951
"75+",6,"Urban",353412,4212527,0.0838954860111282
"Under 1",7,"Urban",41822,4091966,0.0102205150287172
"1 to 4",7,"Urban",179590,4091966,0.0438884389557489
"5 to 9",7,"Urban",235677,4091966,0.0575950533313327
"10 to 14",7,"Urban",225379,4091966,0.0550784146300336
"15 to 19",7,"Urban",210345,4091966,0.0514043860579487
"20 to 24",7,"Urban",258250,4091966,0.0631114725782179
"25 to 29",7,"Urban",275117,4091966,0.0672334520863565
"30 to 34",7,"Urban",277361,4091966,0.0677818437396596
"35 to 39",7,"Urban",276107,4091966,0.0674753895804608
"40 to 44",7,"Urban",257012,4091966,0.0628089285199339
"45 to 49",7,"Urban",266597,4091966,0.0651513233492165
"50 to 54",7,"Urban",281985,4091966,0.0689118629040417
"55 to 59",7,"Urban",272897,4091966,0.0666909255844257
"60 to 64",7,"Urban",233101,4091966,0.0569655270840471
"65 to 69",7,"Urban",207111,4091966,0.0506140569105413
"70 to 74",7,"Urban",213976,4091966,0.052291734584305
"75+",7,"Urban",379639,4091966,0.0927766750750128
"Under 1",8,"Urban",40702,4178504,0.00974080675763383
"1 to 4",8,"Urban",178942,4178504,0.0428244175427378
"5 to 9",8,"Urban",240476,4178504,0.0575507406478491
"10 to 14",8,"Urban",234889,4178504,0.056213659242638
"15 to 19",8,"Urban",215287,4178504,0.051522506619594
"20 to 24",8,"Urban",238417,4178504,0.0570579805595495
"25 to 29",8,"Urban",259477,4178504,0.0620980618900927
"30 to 34",8,"Urban",262427,4178504,0.0628040561885306
"35 to 39",8,"Urban",269178,4178504,0.0644197061914982
"40 to 44",8,"Urban",263137,4178504,0.0629739734603581
"45 to 49",8,"Urban",278507,4178504,0.0666523234152702
"50 to 54",8,"Urban",296224,4178504,0.0708923576476174
"55 to 59",8,"Urban",288861,4178504,0.0691302437427366
"60 to 64",8,"Urban",246813,4178504,0.0590673121289342
"65 to 69",8,"Urban",220675,4178504,0.0528119633246731
"70 to 74",8,"Urban",233384,4178504,0.0558534824903841
"75+",8,"Urban",411108,4178504,0.0983864081499024
"Under 1",9,"Urban",38596,4151271,0.00929739349707596
"1 to 4",9,"Urban",174357,4151271,0.0420008715403066
